113_SRF_0.22-3_k119_82575	Lenarviricota;others
022_DCM_0.22-1.6_k119_57127	Lenarviricota;others
123_SRF_0.22-3_k119_8593	Lenarviricota;others
124_SRF_0.22-3_k141_371733	Lenarviricota;others
113_SRF_0.22-3_k119_84441	Lenarviricota;others
109_DCM_0.22-3_k119_435269	Lenarviricota;others
100_SRF_0.22-3_k119_337053	Lenarviricota;others
132_DCM_0.22-3_k119_364217	Lenarviricota;others
123_SRF_0.22-3_k119_113004	Lenarviricota;others
123_SRF_0.22-3_k119_208054	Lenarviricota;others
137_SRF_0.22-3_k119_403141	Lenarviricota;others
153_MXL_0.22-3_k119_857862	Lenarviricota;others
100_SRF_0.22-3_k119_548178	Lenarviricota;others
125_SRF_0.22-3_k119_91954	Lenarviricota;others
127_SRF_0.22-3_k119_162751	Lenarviricota;others
100_DCM_0.22-3_k119_246722	Lenarviricota;others
100_SRF_0.22-3_k119_322320	Lenarviricota;others
041_DCM_0.22-1.6_k119_133880	Lenarviricota;others
137_SRF_0.22-3_k119_103251	Lenarviricota;others
102_DCM_0.22-3_k119_409843	Lenarviricota;others
100_SRF_0.22-3_k119_336788	Lenarviricota;others
072_DCM_0.22-3_k119_141309	Lenarviricota;others
125_SRF_0.22-3_k119_372735	Lenarviricota;others
124_SRF_0.22-3_k141_352203	Lenarviricota;others
137_SRF_0.22-3_k119_284471	Lenarviricota;others
132_DCM_0.22-3_k119_96427	Lenarviricota;others
102_DCM_0.22-3_k119_54075	Lenarviricota;others
078_DCM_0.22-3_k119_6140	Lenarviricota;others
151_SRF_0.22-3_k119_432532	Lenarviricota;others
109_SRF_0.22-3_k119_164856	Lenarviricota;others
085_DCM_0.22-3_k119_534391	Lenarviricota;others
150_SRF_0.22-3_k119_534391	Lenarviricota;others
078_DCM_0.22-3_k119_617161	Lenarviricota;others
111_SRF_0.22-3_k119_419955	Lenarviricota;others
124_SRF_0.22-3_k141_174529	Lenarviricota;others
137_SRF_0.22-3_k119_262474	Lenarviricota;others
123_SRF_0.22-3_k119_425084	Lenarviricota;others
205_SRF_0.22-3_k119_139648	Lenarviricota;others
084_SRF_0.22-3_k119_406922	Lenarviricota;others
193_SRF_0.22-3_k119_180042	Lenarviricota;others
152_MXL_0.22-3_k119_1014942	Lenarviricota;others
173_DCM_0.22-3_k119_221191	Lenarviricota;others
191_SRF_0.22-3_k119_161895	Lenarviricota;others
153_MXL_0.22-3_k119_212156	Lenarviricota;others
173_DCM_0.22-3_k119_565815	Lenarviricota;others
205_SRF_0.22-3_k119_591660	Lenarviricota;others
152_SRF_0.22-3_k119_375748	Lenarviricota;others
153_MXL_0.22-3_k119_715378	Lenarviricota;others
178_SRF_0.22-3_k119_228768	Lenarviricota;others
191_SRF_0.22-3_k119_61215	Lenarviricota;others
201_DCM_0.22-3_k119_196696	Lenarviricota;others
173_SRF_0.22-3_k119_155769	Lenarviricota;others
180_DCM_0.22-3_k119_283749	Lenarviricota;others
205_SRF_0.22-3_k119_488815	Lenarviricota;others
084_SRF_0.22-3_k119_345541	Lenarviricota;others
180_DCM_0.22-3_k119_286090	Lenarviricota;others
152_SRF_0.22-3_k119_106615	Lenarviricota;others
201_DCM_0.22-3_k119_360492	Lenarviricota;others
178_SRF_0.22-3_k119_206014	Lenarviricota;others
194_DCM_0.22-3_k119_348608	Lenarviricota;others
194_DCM_0.22-3_k119_8725	Lenarviricota;others
196_SRF_0.22-3_k119_378046	Lenarviricota;others
201_DCM_0.22-3_k119_381295	Lenarviricota;others
083_SRF_0.22-3_k119_242491	Lenarviricota;others
191_SRF_0.22-3_k119_107391	Lenarviricota;others
155SUR1KKQQ13_2_k119_2034027	Kitrinoviricota
155SUR1GGZZ13_2_k119_1350115	Kitrinoviricota
067_SRF_0.22-3_k119_454134	"""Permuto-like"""
67SUR5GGMM14_1_ERR1711906_contig_103332	"""Permuto-like"""
137DCM1QQSS14_1_ERR1719367_contig_387619	Pisuviricota
137DCM1MMQQ14_1_ERR1719188_contig_149905	Pisuviricota
137DCM1GGZZ14_1_ERR1719158_contig_63103	Pisuviricota
137_DCM_0.22-3_k119_151783	Pisuviricota
137DCM1GGZZ14_2_ERR1719449_contig_371725	Pisuviricota
137DCM1MMQQ14_2_ERR1719226_contig_21419	Pisuviricota
93DCM1GGMM14_2_ERR1719265_contig_2414235	Pisuviricota
93DCM1GGMM14_1_ERR1719386_contig_189986	Pisuviricota
137DCM1QQSS14_2_ERR1719288_contig_40795	Pisuviricota
93DCM1GGMM14_1_ERR1719386_contig_221653	Pisuviricota
152_MXL_0.22-3_k119_375322	Lenarviricota;others
135_DCM_0.22-3_k119_233119	Lenarviricota;others
135_SRF_0.22-3_k119_659547	Lenarviricota;others
084_SRF_0.22-3_k119_209931	Lenarviricota;others
134_SRF_0.22-3_k119_516428	Lenarviricota;others
210_SRF_0.22-3_k119_22460	Lenarviricota;others
152_MXL_0.22-3_k119_1287193	Lenarviricota;others
151_SRF_0.22-3_k119_307372	Lenarviricota;others
210_SRF_0.22-3_k119_136848	Lenarviricota;others
148_SRF_0.22-3_k119_291908	Lenarviricota;others
139_SRF_0.22-3_k119_344124	Lenarviricota;others
124_SRF_0.22-3_k141_444675	Lenarviricota;others
153_MXL_0.22-3_k119_374779	Lenarviricota;others
076_SRF_0.22-3_k119_188540	Lenarviricota;others
085_DCM_0.22-3_k119_537857	Lenarviricota;others
